"filename" "md5" "label" "replicate" "batch" "hepes" "group" "group2" "g.h" "g.h.b"
"1" "mapping/star/Ctr-16h-1_S30/all_lanes/all_mates/out/star.Ctr-16h-1_S30.all_mates.gene_counts.tab" "2c010b20988058af9f4356a77eac964f" "Ctr-16h-1_S30" 1 "B1" "no_HEPES" "Ctr" "Ctr" "Ctr.no_HEPES" "Ctr.no_HEPES.B1"
"2" "mapping/star/Ctr-16h-2_S35/all_lanes/all_mates/out/star.Ctr-16h-2_S35.all_mates.gene_counts.tab" "c366b5ff93f1315d8d0903527714eea9" "Ctr-16h-2_S35" 1 "B1" "no_HEPES" "Ctr" "Ctr" "Ctr.no_HEPES" "Ctr.no_HEPES.B1"
"3" "mapping/star/Ctr-16h-3_S40/all_lanes/all_mates/out/star.Ctr-16h-3_S40.all_mates.gene_counts.tab" "db64f853a37e43830a37489077684cdf" "Ctr-16h-3_S40" 1 "B1" "no_HEPES" "Ctr" "Ctr" "Ctr.no_HEPES" "Ctr.no_HEPES.B1"
"4" "mapping/star/Ctr-HEPES-16h-1_S31/all_lanes/all_mates/out/star.Ctr-HEPES-16h-1_S31.all_mates.gene_counts.tab" "b2616bb0834e8349e2e7986f094f02bb" "Ctr-HEPES-16h-1_S31" 1 "B1" "HEPES" "Ctr" "Ctr" "Ctr.HEPES" "Ctr.HEPES.B1"
"5" "mapping/star/Ctr-HEPES-16h-2_S36/all_lanes/all_mates/out/star.Ctr-HEPES-16h-2_S36.all_mates.gene_counts.tab" "3ebc7b5a6c88299fec38d6cd559f1458" "Ctr-HEPES-16h-2_S36" 1 "B1" "HEPES" "Ctr" "Ctr" "Ctr.HEPES" "Ctr.HEPES.B1"
"6" "mapping/star/Ctr-HEPES-16h-3_S41/all_lanes/all_mates/out/star.Ctr-HEPES-16h-3_S41.all_mates.gene_counts.tab" "da67cdc285b66f498e7e3244245826e6" "Ctr-HEPES-16h-3_S41" 1 "B1" "HEPES" "Ctr" "Ctr" "Ctr.HEPES" "Ctr.HEPES.B1"
"7" "mapping/star/P3179_11B074C_1_Ctr16h_S1/all_lanes/all_mates/out/star.P3179_11B074C_1_Ctr16h_S1.all_mates.gene_counts.tab" "988de84d85b165eeadb9ad9f0cf78317" "1_Ctr16h_S1" 1 "B2" "no_HEPES" "Ctr" "1_Ctr16h_S1" "Ctr.no_HEPES" "Ctr.no_HEPES.B2"
"8" "mapping/star/P3179_11B074C_2_HEPES16h_S2/all_lanes/all_mates/out/star.P3179_11B074C_2_HEPES16h_S2.all_mates.gene_counts.tab" "901a7f38c61d200ed6e37a538436efd2" "2_HEPES16h_S2" 1 "B2" "HEPES" "Ctr" "2_HEPES16h_S2" "Ctr.HEPES" "Ctr.HEPES.B2"
"9" "mapping/star/P3179_11B074C_3_S_p_D3916h_S3/all_lanes/all_mates/out/star.P3179_11B074C_3_S_p_D3916h_S3.all_mates.gene_counts.tab" "1a05aa2f9a9365402db446989c8421e9" "3_S_p_D3916h_S3" 1 "B2" "no_HEPES" "Sp_D39" "3_S_p_D3916h_S3" "Sp_D39.no_HEPES" "Sp_D39.no_HEPES.B2"
"10" "mapping/star/P3179_11B074C_4_S_p_D39_HEPES16h_S4/all_lanes/all_mates/out/star.P3179_11B074C_4_S_p_D39_HEPES16h_S4.all_mates.gene_counts.tab" "35685ca15afb46826ba47e6d3cd287b6" "4_S_p_D39_HEPES16h_S4" 1 "B2" "HEPES" "Sp_D39" "4_S_p_D39_HEPES16h_S4" "Sp_D39.HEPES" "Sp_D39.HEPES.B2"
"11" "mapping/star/P3179_11B074C_5_pH616h_S5/all_lanes/all_mates/out/star.P3179_11B074C_5_pH616h_S5.all_mates.gene_counts.tab" "d5ee56d5c997b3e672b8233a147989a3" "5_pH616h_S5" 1 "B2" "no_HEPES" "pH_6" "5_pH616h_S5" "pH_6.no_HEPES" "pH_6.no_HEPES.B2"
"12" "mapping/star/P3179_11B1091Z_1_Ctr16h_S6/all_lanes/all_mates/out/star.P3179_11B1091Z_1_Ctr16h_S6.all_mates.gene_counts.tab" "65cf6a286706127d086a0225247e2c28" "1_Ctr16h_S6" 1 "B2" "no_HEPES" "Ctr" "1_Ctr16h_S6" "Ctr.no_HEPES" "Ctr.no_HEPES.B2"
"13" "mapping/star/P3179_11B1091Z_2_HEPES16h_S7/all_lanes/all_mates/out/star.P3179_11B1091Z_2_HEPES16h_S7.all_mates.gene_counts.tab" "daebdefce456ee8171210570bf256f3e" "2_HEPES16h_S7" 1 "B2" "HEPES" "Ctr" "2_HEPES16h_S7" "Ctr.HEPES" "Ctr.HEPES.B2"
"14" "mapping/star/P3179_11B1091Z_3_S_p_D3916h_S8/all_lanes/all_mates/out/star.P3179_11B1091Z_3_S_p_D3916h_S8.all_mates.gene_counts.tab" "b703176c39cc6c9d2c9bb6593217ae06" "3_S_p_D3916h_S8" 1 "B2" "no_HEPES" "Sp_D39" "3_S_p_D3916h_S8" "Sp_D39.no_HEPES" "Sp_D39.no_HEPES.B2"
"15" "mapping/star/P3179_11B1091Z_4_S_p_D39_HEPES16h_S9/all_lanes/all_mates/out/star.P3179_11B1091Z_4_S_p_D39_HEPES16h_S9.all_mates.gene_counts.tab" "c8876a893b601080c22f2c453ca0246f" "4_S_p_D39_HEPES16h_S9" 1 "B2" "HEPES" "Sp_D39" "4_S_p_D39_HEPES16h_S9" "Sp_D39.HEPES" "Sp_D39.HEPES.B2"
"16" "mapping/star/P3179_11B1091Z_5_pH616h_S10/all_lanes/all_mates/out/star.P3179_11B1091Z_5_pH616h_S10.all_mates.gene_counts.tab" "f9855996bd4d7da2dc86a3537b9d7785" "5_pH616h_S10" 1 "B2" "no_HEPES" "pH_6" "5_pH616h_S10" "pH_6.no_HEPES" "pH_6.no_HEPES.B2"
"17" "mapping/star/P3179_11B1109Z_1_Ctr16h_S11/all_lanes/all_mates/out/star.P3179_11B1109Z_1_Ctr16h_S11.all_mates.gene_counts.tab" "386d76a7673d1721e72db4ccb9dcf8e8" "1_Ctr16h_S11" 1 "B2" "no_HEPES" "Ctr" "1_Ctr16h_S11" "Ctr.no_HEPES" "Ctr.no_HEPES.B2"
"18" "mapping/star/P3179_11B1109Z_2_HEPES16h_S12/all_lanes/all_mates/out/star.P3179_11B1109Z_2_HEPES16h_S12.all_mates.gene_counts.tab" "6fb19c2f969280cc4611c6ab077417da" "2_HEPES16h_S12" 1 "B2" "HEPES" "Ctr" "2_HEPES16h_S12" "Ctr.HEPES" "Ctr.HEPES.B2"
"19" "mapping/star/P3179_11B1109Z_3_S_p_D3916h_S13/all_lanes/all_mates/out/star.P3179_11B1109Z_3_S_p_D3916h_S13.all_mates.gene_counts.tab" "256501fc9afd538b6323876000cc4833" "3_S_p_D3916h_S13" 1 "B2" "no_HEPES" "Sp_D39" "3_S_p_D3916h_S13" "Sp_D39.no_HEPES" "Sp_D39.no_HEPES.B2"
"20" "mapping/star/P3179_11B1109Z_4_S_p_D39_HEPES16h_S14/all_lanes/all_mates/out/star.P3179_11B1109Z_4_S_p_D39_HEPES16h_S14.all_mates.gene_counts.tab" "c53d5b89b5bc0baa2c539dfad9e1b430" "4_S_p_D39_HEPES16h_S14" 1 "B2" "HEPES" "Sp_D39" "4_S_p_D39_HEPES16h_S14" "Sp_D39.HEPES" "Sp_D39.HEPES.B2"
"21" "mapping/star/P3179_11B1109Z_5_pH616h_S15/all_lanes/all_mates/out/star.P3179_11B1109Z_5_pH616h_S15.all_mates.gene_counts.tab" "fdf6c09de7c0fa16c640fa47463cb9a3" "5_pH616h_S15" 1 "B2" "no_HEPES" "pH_6" "5_pH616h_S15" "pH_6.no_HEPES" "pH_6.no_HEPES.B2"
"22" "mapping/star/P3179_11B186V_1_Ctr16h_S16/all_lanes/all_mates/out/star.P3179_11B186V_1_Ctr16h_S16.all_mates.gene_counts.tab" "c4de4f4bfb33194913043e66e378fb95" "1_Ctr16h_S16" 1 "B2" "no_HEPES" "Ctr" "1_Ctr16h_S16" "Ctr.no_HEPES" "Ctr.no_HEPES.B2"
"23" "mapping/star/P3179_11B186V_2_HEPES16h_S17/all_lanes/all_mates/out/star.P3179_11B186V_2_HEPES16h_S17.all_mates.gene_counts.tab" "09c90edaced004247e066b549e1d47b6" "2_HEPES16h_S17" 1 "B2" "HEPES" "Ctr" "2_HEPES16h_S17" "Ctr.HEPES" "Ctr.HEPES.B2"
"24" "mapping/star/P3179_11B186V_3_S_p_D3916h_S18/all_lanes/all_mates/out/star.P3179_11B186V_3_S_p_D3916h_S18.all_mates.gene_counts.tab" "8d2c686c9fe6c1748116a55e57275b4e" "3_S_p_D3916h_S18" 1 "B2" "no_HEPES" "Sp_D39" "3_S_p_D3916h_S18" "Sp_D39.no_HEPES" "Sp_D39.no_HEPES.B2"
"25" "mapping/star/P3179_11B186V_4_S_p_D39_HEPES16h_S19/all_lanes/all_mates/out/star.P3179_11B186V_4_S_p_D39_HEPES16h_S19.all_mates.gene_counts.tab" "bbe53111ea635084fac3902bf165f676" "4_S_p_D39_HEPES16h_S19" 1 "B2" "HEPES" "Sp_D39" "4_S_p_D39_HEPES16h_S19" "Sp_D39.HEPES" "Sp_D39.HEPES.B2"
"26" "mapping/star/P3179_11B186V_5_pH616h_S20/all_lanes/all_mates/out/star.P3179_11B186V_5_pH616h_S20.all_mates.gene_counts.tab" "f2cb82c33d6a9c6c1e3872affdf9e232" "5_pH616h_S20" 1 "B2" "no_HEPES" "pH_6" "5_pH616h_S20" "pH_6.no_HEPES" "pH_6.no_HEPES.B2"
"27" "mapping/star/Sp-D39-16h-1_S32/all_lanes/all_mates/out/star.Sp-D39-16h-1_S32.all_mates.gene_counts.tab" "330b4e492f5fba7595c3da7fa2e5f6a7" "Sp-D39-16h-1_S32" 1 "B1" "no_HEPES" "Sp_D39" "Sp_D39" "Sp_D39.no_HEPES" "Sp_D39.no_HEPES.B1"
"28" "mapping/star/Sp-D39-16h-2_S37/all_lanes/all_mates/out/star.Sp-D39-16h-2_S37.all_mates.gene_counts.tab" "d4aa6a497b886d376b24f8694a7d418e" "Sp-D39-16h-2_S37" 1 "B1" "no_HEPES" "Sp_D39" "Sp_D39" "Sp_D39.no_HEPES" "Sp_D39.no_HEPES.B1"
"29" "mapping/star/Sp-D39-16h-3_S42/all_lanes/all_mates/out/star.Sp-D39-16h-3_S42.all_mates.gene_counts.tab" "dffbb4921aaddc75eb1f830d16f1a1db" "Sp-D39-16h-3_S42" 1 "B1" "no_HEPES" "Sp_D39" "Sp_D39" "Sp_D39.no_HEPES" "Sp_D39.no_HEPES.B1"
"30" "mapping/star/Sp-D39-HEPES-16h-1_S33/all_lanes/all_mates/out/star.Sp-D39-HEPES-16h-1_S33.all_mates.gene_counts.tab" "c074e129d9b4ffa771acab435b0aa665" "Sp-D39-HEPES-16h-1_S33" 1 "B1" "HEPES" "Sp_D39" "Sp_D39" "Sp_D39.HEPES" "Sp_D39.HEPES.B1"
"31" "mapping/star/Sp-D39-HEPES-16h-2_S38/all_lanes/all_mates/out/star.Sp-D39-HEPES-16h-2_S38.all_mates.gene_counts.tab" "78aec7685d04167945cbe1833af0d5cf" "Sp-D39-HEPES-16h-2_S38" 1 "B1" "HEPES" "Sp_D39" "Sp_D39" "Sp_D39.HEPES" "Sp_D39.HEPES.B1"
"32" "mapping/star/Sp-D39-HEPES-16h-3_S43/all_lanes/all_mates/out/star.Sp-D39-HEPES-16h-3_S43.all_mates.gene_counts.tab" "93b5506f0f66cf70c4e33db0dc0c6ecf" "Sp-D39-HEPES-16h-3_S43" 1 "B1" "HEPES" "Sp_D39" "Sp_D39" "Sp_D39.HEPES" "Sp_D39.HEPES.B1"
"33" "mapping/star/pH-6-16h-1_S34/all_lanes/all_mates/out/star.pH-6-16h-1_S34.all_mates.gene_counts.tab" "ac306b007b00f4263e2b235bb3233247" "pH-6-16h-1_S34" 1 "B1" "no_HEPES" "pH_6" "pH_6" "pH_6.no_HEPES" "pH_6.no_HEPES.B1"
"34" "mapping/star/pH-6-16h-2_S39/all_lanes/all_mates/out/star.pH-6-16h-2_S39.all_mates.gene_counts.tab" "75c096424cf3590632a138435410b56f" "pH-6-16h-2_S39" 1 "B1" "no_HEPES" "pH_6" "pH_6" "pH_6.no_HEPES" "pH_6.no_HEPES.B1"
"35" "mapping/star/pH-6-16h-3_S44/all_lanes/all_mates/out/star.pH-6-16h-3_S44.all_mates.gene_counts.tab" "04d85d5d7c04129964505d845f2ce345" "pH-6-16h-3_S44" 1 "B1" "no_HEPES" "pH_6" "pH_6" "pH_6.no_HEPES" "pH_6.no_HEPES.B1"
